DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
1,1056.95,1056.95,1050.07,1051.37,10690
2,1057.5798,1058.62,1056.16,1056.16,7600
3,1059.09,1059.09,1056.6374,1057.5731,6995
4,1058.83,1058.83,1057.46,1058.43,12237
5,1058.16,1059.44,1058.03,1058.5876,10003
6,1058.23,1058.985,1057.4,1058.68,7293
7,1057.95,1059.08,1057.02,1058.4,9437
8,1057.85,1057.85,1056.05,1057.25,14008
9,1054.94,1058.38,1054.86,1057.18,6638
10,1053.655,1054.94,1053.015,1054.94,8628
11,1053.56,1055.47,1052.22,1052.98,6531
12,1053.63,1054.04,1052.22,1053.99,10094
13,1054.2575,1054.82,1052.9,1053.81,4165
14,1052.11,1054.6,1052.11,1054.5775,4689
15,1052.61,1053.01,1051.495,1052,2300
16,1051.955,1052.65,1051.69,1051.965,2100
17,1049.31,1051.51,1049.31,1051.5,5082
18,1052.275,1052.275,1049.29,1049.66,8087
19,1050.6,1052.579,1049.7837,1051.94,7279
20,1053.5,1053.5,1050.7268,1050.7268,5825
21,1054.2358,1054.83,1053.5,1054.69,6973
22,1056.93,1057.09,1053.8,1053.8,5750
23,1058.59,1059,1056.3551,1056.8393,7198
24,1061.445,1061.445,1058.9,1058.96,16843
25,1061,1062.28,1061,1061.84,11294
26,1063.1201,1064.1,1062.55,1062.63,6050
27,1065.08,1065.08,1063.2605,1064.257,6405
28,1063.22,1064.6,1062.94,1064.59,13246
29,1063.445,1063.99,1061.3101,1063.27,7513
30,1064.95,1065.24,1063.03,1064.21,6568
31,1063.51,1065.4,1063.51,1064.71,3313
32,1066.7799,1066.7799,1063.03,1063.29,2950
33,1063.33,1066.7477,1063.33,1066.24,3680
34,1062.69,1063.7709,1062.03,1063.7709,4600
35,1063.46,1064,1062.81,1062.83,2737
36,1060,1063.39,1060,1063.32,5555
37,1058.39,1060.02,1058.36,1059.52,13100
38,1059.7,1060.2685,1058.34,1058.345,11109
39,1061.67,1062.75,1059.71,1060.2,4245
40,1059.94,1061.619,1058.5756,1060.23,4002
41,1064.38,1064.38,1059.04,1060.14,2494
42,1061.55,1063.18,1061.14,1063.18,2368
43,1060.5766,1061.93,1060.01,1061.56,2282
44,1060.26,1061.29,1059.3247,1060.29,2825
45,1059.45,1060.89,1058.27,1059.48,4372
46,1061.94,1062.47,1060.19,1060.19,4434
47,1059.84,1062.48,1059.84,1062.48,3781
48,1061.43,1062.0522,1060.25,1060.25,1304
49,1058,1061.16,1058,1061.16,3504
50,1057.93,1058.22,1056.57,1057.99,4608
51,1058.2702,1058.64,1057,1057.45,8504
52,1057.93,1059.459,1057.93,1058.73,4994
53,1060.42,1060.87,1058.46,1058.465,5145
54,1060.5,1060.976,1060.37,1060.976,1909
55,1057.675,1060.57,1057.675,1060.57,3302
56,1059.475,1059.6005,1057.691,1057.691,1093
57,1058.9,1060.275,1058.71,1060.275,3024
58,1061.885,1061.885,1059.2,1059.2,977
59,1060.8497,1061.24,1060.705,1060.86,980
60,1061.1699,1061.1699,1060.2601,1060.53,2290
61,1059.43,1061.17,1059.36,1060.91,2680
62,1060.74,1060.74,1059.84,1060.01,1433
63,1061.61,1062.236,1060.93,1060.96,1990
64,1061.6922,1062.11,1061.6922,1062.11,425
65,1063.16,1063.965,1062.29,1062.29,2708
66,1063.0749,1063.71,1062.191,1063.71,1490
67,1062.91,1063.44,1062.33,1062.33,2890
68,1062.28,1062.6,1062,1062.6,490
69,1062.225,1063.3399,1062.225,1062.4,3584
70,1061.69,1062.6375,1061.62,1062.6375,1400
71,1063.57,1063.57,1061.85,1062.31,6558
72,1062.97,1064.31,1062.97,1063.94,1893
73,1063.8,1063.85,1062.77,1063.4103,1397
74,1063.88,1063.91,1063,1063.42,2235
75,1064.74,1064.74,1063.011,1063.011,2700
76,1065.59,1065.59,1064.59,1064.69,3936
77,1065.8099,1066.56,1064.97,1065.725,6851
78,1062.68,1064.44,1062.25,1064.44,4937
79,1062.99,1062.99,1062.9899,1062.9899,500
80,1062.58,1063.25,1062.58,1062.8753,1100
81,1061.45,1062.956,1061.45,1062.956,3262
82,1063.105,1063.105,1061.14,1061.4329,2200
83,1063.78,1063.85,1063.06,1063.3,1313
84,1063.15,1063.66,1063.15,1063.66,600
85,1063.7799,1063.78,1062.89,1062.95,1626
86,1063.651,1064,1063.45,1064,1510
87,1063.17,1063.81,1063.17,1063.8,800
88,1062.8597,1063.49,1062.8597,1063.42,1400
89,1064.075,1064.075,1063,1063,1125
90,1063.975,1064.28,1063.76,1064.08,800
91,1065.18,1065.18,1064.45,1064.45,3100
92,1063.66,1064.96,1063.66,1064.96,1107
93,1062.05,1062.78,1062.05,1062.54,1655
94,1060.99,1062.745,1060.99,1062.745,3300
95,1062.6925,1062.6999,1061.13,1061.13,3250
96,1060.03,1061.87,1060.03,1061.85,1385
97,1060.7,1061.48,1060.41,1060.91,2209
98,1060.43,1061.04,1060,1060.3577,3660
99,1059.475,1059.63,1059.475,1059.63,650
100,1057.53,1059.48,1057.53,1059.12,2097
101,1057.46,1058.65,1057.46,1058.145,2700
102,1057.48,1057.95,1057.4719,1057.625,2800
103,1057.04,1057.88,1056.86,1057.88,1300
104,1056.6953,1056.97,1056.46,1056.97,1100
105,1057,1057,1056.97,1056.97,400
106,1058.175,1058.58,1057.52,1057.54,1700
107,1055.01,1058.44,1055.01,1058.42,3398
108,1054.31,1055.83,1054.115,1055.83,3489
109,1054.75,1055.55,1054.02,1054.9,5855
110,1056.26,1056.2799,1054.69,1054.69,2000
111,1054.99,1056.76,1054.75,1056.76,1440
112,1054.48,1055.45,1054.1601,1054.66,2629
113,1054.85,1055.675,1054.0544,1054.9599,1800
114,1054.77,1055.96,1054.34,1055.385,1800
115,1053.86,1054.659,1053.86,1054.12,1370
116,1054.28,1054.61,1053.54,1053.79,2200
117,1054.99,1054.99,1053.86,1054.63,2700
118,1055.935,1056.27,1055,1055,3953
119,1054.75,1056.99,1054.75,1056.99,2372
120,1054.0859,1054.5,1053.14,1054.5,2650
121,1053.9725,1054.79,1053.9725,1054.04,2310
122,1054,1055.035,1054,1055.035,700
123,1054.61,1054.61,1053.87,1054.45,900
124,1055.64,1055.64,1054.56,1054.56,679
125,1055.82,1056,1055.64,1055.64,1100
126,1055.1755,1055.9,1054.5501,1055.84,1000
127,1056.044,1056.52,1055.8,1055.8,1400
128,1056.19,1056.19,1055.5101,1056.053,400
129,1052.91,1056.22,1052.2367,1056.22,5160
130,1051.28,1052.95,1051.01,1052.43,3790
131,1052.28,1052.76,1051.48,1051.48,2008
132,1051.01,1052.46,1051.01,1052.29,1500
133,1049.46,1051.3905,1049.46,1051.3905,7807
134,1049.53,1049.77,1048.52,1049.35,13337
135,1049.163,1049.57,1048.8301,1049.57,1010
136,1048.7501,1049.85,1048.7501,1049.38,3009
137,1049.11,1049.8,1048.79,1049.44,2200
138,1048.11,1049.75,1047.81,1049.235,5740
139,1048.4447,1048.79,1047.61,1048.35,1943
140,1047.96,1048.82,1047.96,1048.636,907
141,1048.08,1048.18,1047.16,1048.18,1700
142,1047,1047.61,1047,1047.49,1708
143,1047.489,1048.015,1046.94,1047.48,1700
144,1048.35,1048.35,1047.98,1047.98,1266
145,1048.96,1048.96,1048.48,1048.68,900
146,1047.09,1048.53,1046.14,1048.53,3469
147,1047.315,1047.48,1046.94,1047.44,900
148,1046.16,1047.32,1046.11,1047.235,2410
149,1046.72,1046.85,1046.5,1046.77,500
150,1045.015,1046.84,1045.01,1046.5,5094
151,1046.66,1046.66,1045.63,1045.63,1100
152,1049.31,1049.31,1048.1,1048.1,1685
153,1049.66,1049.66,1048.301,1049.1,2900
154,1048.39,1049.25,1048.0695,1048.94,4580
155,1047.471,1049.11,1047.471,1049.09,3394
156,1048.47,1048.56,1047.58,1047.99,1229
157,1047.71,1048.56,1047.47,1048.56,2779
158,1048.82,1048.82,1047.14,1047.22,2187
159,1051.105,1051.36,1049.19,1049.21,10796
160,1050.24,1051.865,1050.24,1051.36,7210
161,1049.08,1050.746,1049.08,1050.746,1100
162,1049.251,1050.085,1049.25,1049.445,2240
163,1048.1749,1049.44,1048.105,1049.25,4732
164,1046.625,1048.17,1046.39,1048.17,6400
165,1048.5,1048.65,1046.85,1046.85,8851
166,1048.95,1048.99,1047.84,1048.2,1706
167,1048.9192,1048.95,1047.93,1048.46,3086
168,1046.69,1048.62,1046.69,1048.62,1031
169,1046.1851,1047.3017,1046.1851,1046.9823,2282
170,1047.39,1047.39,1047.13,1047.13,200
171,1048.12,1048.135,1047.63,1047.63,1200
172,1048.24,1048.54,1047.7501,1048.17,3000
173,1046.84,1048.26,1046.84,1048,3463
174,1049,1049,1047.12,1047.1662,1705
175,1049.2,1049.4574,1049.2,1049.28,542
176,1051.1,1051.1,1049.2001,1049.495,1307
177,1052.25,1052.25,1051.701,1051.999,900
178,1051.59,1052.71,1051.59,1052.71,2200
179,1051.83,1052.499,1051.62,1051.68,1857
180,1051.99,1052.31,1051.99,1052.31,200
181,1050.99,1052.3799,1050.98,1051.58,1780
182,1051.43,1051.43,1050.53,1051.31,1300
183,1050.82,1050.82,1050.42,1050.505,1200
184,1049.925,1052.03,1049.925,1051.74,2500
185,1049.43,1050.34,1049.43,1050.34,920
186,1048.39,1050.18,1048.26,1049.86,2706
187,1047.5,1048.74,1047.05,1048.74,1364
188,1046.99,1047.675,1046.99,1047.675,2500
189,1046.55,1046.55,1045.7574,1046.44,6449
190,1045.92,1046.989,1045.35,1046.01,2521
191,1045.98,1046.7674,1045.545,1046.5176,7191
192,1046.07,1046.21,1045.75,1045.985,2744
193,1045.74,1046.33,1045.73,1046.08,610
194,1046.52,1046.95,1046.2157,1046.5,725
195,1046.26,1046.68,1045.6975,1046.67,1800
196,1046.41,1046.6,1046.0585,1046.0585,2440
197,1047.3,1047.3,1046.9,1046.9,1602
198,1046.08,1047.5,1046.08,1047.5,1440
199,1046.13,1046.13,1046.13,1046.13,100
200,1046.5,1046.88,1046.21,1046.87,981
201,1047.97,1048.7599,1046.47,1046.47,2352
202,1047.62,1047.93,1046.45,1047.93,1500
203,1047.47,1047.78,1046.5667,1046.73,1700
204,1047,1047,1046.2,1046.32,2132
205,1046.7347,1047.43,1046.7347,1047.22,450
206,1047.43,1047.43,1047.42,1047.42,500
207,1046.21,1046.88,1046.1,1046.88,500
208,1045.92,1045.92,1045.1001,1045.1001,1191
209,1045.4913,1046.73,1045.4913,1046.73,2119
210,1046.56,1046.56,1045.38,1045.75,1800
211,1045.85,1046.01,1045.25,1046.01,1252
212,1046.2,1046.2,1044.4565,1045.67,12372
213,1047.1,1047.98,1046.1,1046.46,2620
214,1048.7508,1049.11,1048.63,1048.795,3155
215,1049.82,1050.8599,1049.82,1050.11,1207
216,1050.45,1050.46,1049.54,1049.643,1100
217,1049.56,1050.05,1049.55,1050.05,893
